vehicle_id,position_x,position_y,position_z,heading,speed,speed_command,mileage_distance,power_on_time,soc,fuel_level,chassis_mode,estop,task_state_running,task_state_estop,task_state_lock,task_stage,current_task,error_code,target_location,vesselVisitID,mission_type,container1_type,container2_type,vehicle_mode,missionID,port,hour,day_of_week,avg_speed_5min,needs_charging
A022,-13.0325946807861,80.6685943603515,0,1.53998303413391,0.0,0.0,11335,30919744,77,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.0,-,tianhaiheda,10,5,0.0,0
A022,-13.0229711532592,80.6758041381836,0,1.53921723365783,0.0,0.0,11335,30920990,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,10,5,0.0,0
A022,-143.486053466796,208.097076416015,0,3.14009475708007,0.615279495716095,0.667140305042266,11331,30913420,81,0,1,0,1,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.0,0.0,0.015729184475978798,0.0,6e4890e0-9e9f-11ed-8da9-0242ac110030,tianhaiheda,8,5,1.665252578258512,0
A022,-13.0240516662597,80.6768188476562,0,1.5385308265686,0.0,0.0,11335,30921910,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,11,5,0.0,0
A028,-464.23208618164,146.063369750976,0,-0.0012922688620164,0.0,0.0,11417,31046208,62,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,1.201796968205283e-14,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,0dfd1000-9f74-11ed-8a14-0242ac11003c,changjinxiantai,21,6,0.0,0
A022,154.223037719726,-218.725448608398,0,0.0009012244991026,0.0,0.0,11339,30933042,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,14,5,0.0,0
A022,-13.0187702178955,80.6685485839843,0,1.53784751892089,0.0,0.0,11335,30924776,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,12,5,0.0,0
A022,-117.451934814453,208.090286254882,0,3.14056897163391,0.0,0.0,11331,30913332,81,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.0,0.0,0.015729184475978798,0.0,6e4890e0-9e9f-11ed-8da9-0242ac110030,tianhaiheda,8,5,0.0,0
A022,154.227020263671,-218.728332519531,0,0.0007762487512081,0.0,0.0,11339,30938248,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,15,5,0.0,0
A022,182.805023193359,-218.72573852539,0,-0.000530973135028,0.492275953292846,0.837308168411254,11337,30929614,74,0,1,0,1,0,0,0.02444533014481201,0.0,0.0,2.8953009500139967e-06,0.38016528925619836,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,79caa436-9ecb-11ed-a9a8-0242ac110030,tianhaiheda,13,5,3.992815589904781,0
